                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1826,                  1.812,                 1.3743,                0.49572,                0.70001,                 0.6075,                0.21347,                 2.0179,                 1.9656,                 1.3951,             0.00055158,             0.00055158,             0.00055158
                      2,                 1.9439,                 1.4543,                 1.2532,                0.58844,                0.64439,                0.58755,                0.14682,                 2.7073,                 2.7146,                 1.9739,              0.0010707,              0.0010707,              0.0010707
                      3,                 1.9489,                 1.4564,                 1.2556,                0.64645,                0.67162,                0.63382,                0.20698,                 2.2635,                   1.46,                 1.5136,              0.0015532,              0.0015532,              0.0015532
                      4,                 1.9184,                 1.4318,                 1.2416,                0.71797,                0.74969,                0.74499,                0.27961,                 1.8041,                 1.4285,                 1.2883,               0.001502,               0.001502,               0.001502
                      5,                 1.8546,                 1.3963,                 1.2007,                0.60513,                0.72307,                0.72751,                0.25098,                 2.0691,                 1.5255,                 1.4272,               0.001502,               0.001502,               0.001502
                      6,                 1.8439,                 1.4166,                 1.1986,                0.73081,                0.81005,                0.78903,                0.32722,                 1.6449,                  1.421,                 1.2248,               0.001447,               0.001447,               0.001447
                      7,                 1.7735,                 1.3668,                 1.1641,                0.69812,                 0.7583,                0.72922,                0.29489,                 1.6944,                 1.4654,                 1.2187,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.7351,                 1.3604,                 1.1511,                 0.7421,                0.69998,                0.73457,                0.30226,                 1.7437,                 1.4377,                 1.2694,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.6833,                 1.3618,                 1.1342,                0.71397,                0.74407,                0.71845,                0.24714,                 2.1557,                 1.3474,                 1.3996,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.6377,                  1.345,                 1.1187,                0.75469,                0.78173,                0.78946,                0.33434,                 1.6535,                 1.3777,                 1.2116,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.6504,                 1.3466,                 1.1195,                0.75032,                0.80914,                0.80148,                0.34684,                 1.4764,                 1.5137,                 1.1364,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.5936,                 1.3549,                 1.1058,                 0.7881,                0.75153,                0.78545,                0.34925,                 1.4453,                 1.4698,                 1.1263,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.6002,                 1.3331,                 1.1015,                0.79486,                0.75409,                0.79527,                  0.348,                 1.4856,                 1.4343,                 1.1452,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.5654,                   1.34,                 1.0901,                0.76636,                0.79011,                0.80317,                0.35374,                 1.4698,                 1.4167,                 1.1398,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.5611,                 1.3489,                 1.0877,                0.76339,                0.68309,                0.75597,                0.34096,                 1.4113,                 1.5017,                 1.1113,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.5428,                 1.3426,                 1.0833,                0.79546,                0.73791,                0.77919,                0.34803,                 1.4085,                 1.4794,                 1.1101,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.5285,                  1.335,                 1.0788,                0.80234,                0.74972,                0.78926,                0.36351,                 1.3708,                  1.478,                 1.0934,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.5082,                 1.3367,                 1.0742,                0.77201,                 0.8335,                0.82239,                0.37152,                  1.379,                 1.4597,                  1.089,             0.00078682,             0.00078682,             0.00078682
                     19,                  1.508,                 1.3432,                 1.0732,                0.81424,                0.78102,                0.81728,                0.37486,                 1.3933,                 1.4126,                 1.1065,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.5072,                 1.3268,                 1.0662,                0.81391,                0.74864,                0.80398,                0.36696,                 1.3623,                 1.4627,                  1.089,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.4503,                  1.395,                  1.098,                0.79751,                0.76938,                0.80634,                0.37329,                 1.3691,                 1.4391,                 1.0936,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.4597,                 1.3798,                 1.1066,                0.77621,                0.83374,                0.82851,                0.38064,                 1.3446,                 1.4766,                 1.0785,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.4465,                 1.3909,                 1.0995,                0.82897,                0.74232,                0.80426,                0.36644,                 1.3533,                 1.4709,                 1.0825,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.4366,                 1.3964,                 1.0931,                0.80332,                0.80345,                 0.8217,                0.37765,                 1.3224,                 1.4675,                 1.0697,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.4279,                 1.3722,                 1.0949,                0.82886,                0.78737,                0.82531,                0.38187,                 1.3786,                 1.4157,                 1.0962,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.4187,                 1.3746,                 1.0932,                0.81335,                0.80297,                0.82657,                0.37582,                 1.3539,                 1.4482,                 1.0855,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.4051,                 1.3766,                  1.083,                0.80657,                0.80675,                0.82819,                0.38357,                 1.3331,                 1.4425,                 1.0758,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.4105,                  1.366,                 1.0796,                0.82338,                 0.7724,                0.82148,                0.38106,                 1.3365,                 1.4478,                 1.0718,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.4033,                  1.367,                 1.0762,                0.81415,                0.81826,                0.83271,                0.38208,                 1.3418,                 1.4452,                 1.0766,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.3931,                 1.3707,                 1.0788,                0.81588,                0.80049,                0.82663,                0.38848,                  1.317,                 1.4386,                 1.0685,             0.00012669,             0.00012669,             0.00012669
